trt,yield
Dol-Mix (1 kg),2537
Dol-Mix (1 kg),2069
Dol-Mix (1 kg),2104
Dol-Mix (1 kg),1797
Dol-Mix (2 kg),3366
Dol-Mix (2 kg),2591
Dol-Mix (2 kg),2211
Dol-Mix (2 kg),2544
DDT + BHC,2536
DDT + BHC,2459
DDT + BHC,2827
DDT + BHC,2385
Azodrin,2387
Azodrin,2453
Azodrin,1556
Azodrin,2116
Dimecron-Boom,1997
Dimecron-Boom,1679
Dimecron-Boom,1649
Dimecron-Boom,1859
Dimecron-Knap,1796
Dimecron-Knap,1704
Dimecron-Knap,1904
Dimecron-Knap,1320
Control,1401
Control,1516
Control,1270
Control,1077
