"insecticide","rep","larvae_no","loglarvae"
"Diazinon (4)",1,9,0.954242509439325
"Diazinon (3)",1,4,0.602059991327962
"Diazinon (2)",1,6,0.778151250383644
"Diazinon (1)",1,9,0.954242509439325
"Diazinon (2) + MLVC (2)",1,27,1.43136376415899
"Diazinon (2) + MLVC + SLVC (2)",1,35,1.54406804435028
"Diazinon (1) at 15% DH infestation",1,1,0
"Diazinon (1) at 20% DH infestation",1,10,1
"Control",1,4,0.602059991327962
"Diazinon (4)",2,12,1.07918124604762
"Diazinon (3)",2,8,0.903089986991944
"Diazinon (2)",2,15,1.17609125905568
"Diazinon (1)",2,6,0.778151250383644
"Diazinon (2) + MLVC (2)",2,17,1.23044892137827
"Diazinon (2) + MLVC + SLVC (2)",2,28,1.44715803134222
"Diazinon (1) at 15% DH infestation",2,0,-Inf
"Diazinon (1) at 20% DH infestation",2,0,-Inf
"Control",2,10,1
"Diazinon (4)",3,0,-Inf
"Diazinon (3)",3,5,0.698970004336019
"Diazinon (2)",3,6,0.778151250383644
"Diazinon (1)",3,4,0.602059991327962
"Diazinon (2) + MLVC (2)",3,10,1
"Diazinon (2) + MLVC + SLVC (2)",3,2,0.301029995663981
"Diazinon (1) at 15% DH infestation",3,0,-Inf
"Diazinon (1) at 20% DH infestation",3,2,0.301029995663981
"Control",3,15,1.17609125905568
"Diazinon (4)",4,1,0
"Diazinon (3)",4,1,0
"Diazinon (2)",4,2,0.301029995663981
"Diazinon (1)",4,5,0.698970004336019
"Diazinon (2) + MLVC (2)",4,10,1
"Diazinon (2) + MLVC + SLVC (2)",4,15,1.17609125905568
"Diazinon (1) at 15% DH infestation",4,0,-Inf
"Diazinon (1) at 20% DH infestation",4,1,0
"Control",4,5,0.698970004336019
